,coefficient,std_err,t_stat,p_value,ci_low,ci_high,significant
C(neighbourhood_cleansed)[T.Buckow Nord],-0.380032,0.190363,-1.996354,0.045895,-0.753136,-0.006927,True
C(neighbourhood_cleansed)[T.Charlottenburg Nord],0.569221,0.664574,0.85652,0.39171,-0.73332,1.871762,False
C(neighbourhood_cleansed)[T.Dammvorstadt],0.048715,0.232641,0.209399,0.834137,-0.407252,0.504682,False
C(neighbourhood_cleansed)[T.Drakestr.],0.047668,0.109378,0.435805,0.662978,-0.16671,0.262045,False
C(neighbourhood_cleansed)[T.Düsseldorfer Straße],0.295737,0.10723,2.757956,0.005816,0.085569,0.505904,True
C(neighbourhood_cleansed)[T.Falkenhagener Feld],-0.148848,0.141285,-1.05353,0.292098,-0.425762,0.128066,False
C(neighbourhood_cleansed)[T.Fennpfuhl],-0.2645,0.151746,-1.74305,0.081325,-0.561916,0.032916,False
C(neighbourhood_cleansed)[T.Forst Grunewald],0.260652,0.431009,0.60475,0.545345,-0.584109,1.105414,False
C(neighbourhood_cleansed)[T.Frankfurter Allee Nord],0.06214,0.105304,0.5901,0.555124,-0.144252,0.268532,False
C(neighbourhood_cleansed)[T.Frankfurter Allee Süd],-0.37783,0.185615,-2.035558,0.041795,-0.741628,-0.014031,True
C(neighbourhood_cleansed)[T.Frankfurter Allee Süd FK],0.172109,0.101644,1.693248,0.090408,-0.02711,0.371328,False
C(neighbourhood_cleansed)[T.Friedenau],0.004396,0.112276,0.039158,0.968765,-0.21566,0.224453,False
C(neighbourhood_cleansed)[T.Friedrichsfelde Nord],0.039769,0.129919,0.306106,0.759524,-0.214867,0.294405,False
C(neighbourhood_cleansed)[T.Friedrichsfelde Süd],-0.283396,0.132774,-2.134415,0.032809,-0.543628,-0.023163,True
C(neighbourhood_cleansed)[T.Friedrichshagen],0.191029,0.128953,1.481381,0.138505,-0.061715,0.443772,False
C(neighbourhood_cleansed)[T.Gatow / Kladow],-0.013561,0.138331,-0.098033,0.921906,-0.284686,0.257564,False
C(neighbourhood_cleansed)[T.Gropiusstadt],-0.279539,0.220928,-1.265292,0.205767,-0.712551,0.153473,False
C(neighbourhood_cleansed)[T.Grunewald],0.118004,0.128509,0.918252,0.358487,-0.13387,0.369878,False
C(neighbourhood_cleansed)[T.Grünau],-0.13063,0.120272,-1.086123,0.277424,-0.366359,0.105099,False
C(neighbourhood_cleansed)[T.Hakenfelde],-0.23012,0.172687,-1.332587,0.182667,-0.56858,0.10834,False
C(neighbourhood_cleansed)[T.Halensee],-0.036478,0.115602,-0.315544,0.752349,-0.263053,0.190098,False
C(neighbourhood_cleansed)[T.Haselhorst],0.580575,0.144787,4.009859,6.1e-05,0.296798,0.864352,True
