block_size,id,host_id,neighbourhood_cleansed,name,latitude,longitude,room_type,property_type
4,755601690329686955,486844508,Newham,Double Room with En Suite,51.52303089999999,0.0310089,Private room,Private room in rental unit
4,755926764318597533,486844508,Newham,Double Room with En suite,51.52303089999999,0.0310089,Private room,Private room in rental unit
4,756020130340066415,486844508,Newham,Double Room with En suite,51.52303089999999,0.0310089,Private room,Private room in rental unit
4,756028803073591069,486844508,Newham,Double Room with En suite,51.52303089999999,0.0310089,Private room,Private room in rental unit
4,787404040932371978,301446037,Sutton,Beddington Park Lodge East Stylish Double Rooms,51.36969,-0.14046,Private room,Private room in home
4,787680772205257097,301446037,Sutton,Beddington Park Lodge East Stylish Double Rooms,51.36959,-0.14047,Private room,Private room in home
4,963546333143740003,301446037,Sutton,Beddington Park Lodge East Stylish Double Rooms,51.36962,-0.14049,Private room,Private room in home
4,1271185735137908907,301446037,Sutton,Beddington Park Lodge East Stylish Double Rooms,51.36963,-0.14047,Private room,Private room in home
4,1379673930198515211,679351151,Sutton,New London 2Bed With Parking | Long Stays Welcome,51.3574339,-0.217276,Entire home/apt,Entire rental unit
4,1485487581714620420,679351151,Sutton,New London 2Bed With Parking | Long Stays Welcome,51.3574339,-0.217276,Entire home/apt,Entire rental unit
4,1485487861137097971,679351151,Sutton,New London 2Bed With Parking | Long Stays Welcome,51.3574339,-0.217276,Entire home/apt,Entire rental unit
4,1485488139911899679,679351151,Sutton,New London 2Bed With Parking | Long Stays Welcome,51.3574339,-0.217276,Entire home/apt,Entire rental unit
4,1025261035630058402,545711434,Tower Hamlets,Bright Room On Commercial Road,51.5134972,-0.0492687,Private room,Private room in rental unit
4,1025262442171136883,545711434,Tower Hamlets,Bright Room On Commercial Road,51.5134972,-0.0492687,Private room,Private room in rental unit
4,1025264129034454521,545711434,Tower Hamlets,Bright Room On Commercial Road,51.5134972,-0.0492687,Private room,Private room in rental unit
