id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
2444032,Hammersmith and Fulham,private_room,apartment,50.0,48,4.52,4.33,4.94,Single (1),
2511072,Islington,private_room,house,61.0,151,4.49,4.55,4.79,Small (2–5),1.0
2580731,Camden,private_room,apartment,108.0,39,4.44,4.59,4.73,Small (2–5),1.0
2591139,Haringey,private_room,house,52.0,28,4.54,4.71,4.79,Small (2–5),1.0
2635019,Southwark,entire_home,apartment,,118,4.42,4.47,4.74,Professional (6–20),
2646365,Wandsworth,entire_home,apartment,150.0,58,4.52,4.55,4.95,Single (1),1.0
2660137,Wandsworth,private_room,house,40.0,78,4.54,4.46,4.81,Small (2–5),1.0
2684798,Wandsworth,entire_home,apartment,,56,4.23,4.45,4.7,Single (1),
2690320,Hammersmith and Fulham,private_room,house,65.0,487,4.58,4.73,4.83,Small (2–5),1.0
2713984,Lambeth,entire_home,house,,47,4.47,4.49,4.91,Small (2–5),1.0
2782293,Camden,entire_home,apartment,,20,4.45,4.45,4.75,Single (1),
2916767,Camden,entire_home,apartment,220.0,358,4.28,4.22,4.73,Small (2–5),1.0
2938289,Westminster,entire_home,apartment,,83,4.52,4.6,4.71,Commercial (21+),0.9
2955746,Kensington and Chelsea,entire_home,apartment,,48,4.29,4.1,4.54,Single (1),
2964617,Southwark,entire_home,apartment,,262,4.37,4.54,4.42,Small (2–5),0.7
2974379,Hammersmith and Fulham,entire_home,apartment,168.0,90,4.36,4.27,4.58,Small (2–5),1.0
2986844,Southwark,entire_home,apartment,119.0,100,4.46,4.21,4.73,Small (2–5),0.4
3003685,Camden,entire_home,apartment,157.0,46,4.33,4.24,4.74,Small (2–5),1.0
3024491,Tower Hamlets,private_room,apartment,32.0,92,4.41,3.66,4.89,Small (2–5),1.0
3031220,Westminster,entire_home,apartment,132.0,90,4.54,4.53,4.64,Single (1),1.0
3035487,Brent,private_room,house,94.0,20,4.4,4.05,4.65,Small (2–5),1.0
3048491,Hackney,entire_home,apartment,,70,4.49,4.43,4.75,Single (1),
3142125,Wandsworth,private_room,apartment,50.0,31,4.42,4.37,4.61,Single (1),1.0
3179548,Hammersmith and Fulham,entire_home,apartment,162.0,49,4.57,4.61,4.78,Professional (6–20),1.0
3202231,Lambeth,private_room,apartment,59.0,188,4.28,4.4,4.7,Small (2–5),0.88
3202462,Lambeth,private_room,apartment,40.0,270,4.56,4.55,4.76,Small (2–5),0.88
3233141,Hammersmith and Fulham,private_room,apartment,,55,4.58,4.44,4.88,Single (1),1.0
3240415,Lewisham,private_room,house,,25,4.32,4.56,4.75,Small (2–5),
3276487,Barnet,entire_home,apartment,,95,4.46,4.43,4.83,Single (1),
3321096,Westminster,private_room,apartment,,158,4.57,4.64,4.85,Small (2–5),
3323834,Brent,entire_home,house,,23,4.52,4.23,4.77,Small (2–5),
3344106,Newham,private_room,house,,36,4.56,4.58,4.69,Small (2–5),1.0
3350842,Kensington and Chelsea,entire_home,apartment,144.0,28,4.57,4.93,4.71,Single (1),0.5
3383015,Haringey,entire_home,house,171.0,20,4.5,4.55,4.7,Single (1),1.0
3410651,Southwark,private_room,house,,51,4.53,4.55,4.82,Single (1),
3450898,Tower Hamlets,entire_home,apartment,120.0,74,4.45,4.01,4.81,Single (1),1.0
3478181,Southwark,entire_home,apartment,115.0,109,4.2,4.22,4.49,Small (2–5),1.0
3501702,Hackney,entire_home,apartment,84.0,44,4.52,4.14,4.82,Single (1),0.0
3510729,Southwark,private_room,apartment,,24,4.5,4.43,4.83,Single (1),1.0
3521565,Brent,private_room,house,50.0,97,4.51,4.54,4.74,Small (2–5),0.89
3587847,Camden,entire_home,apartment,160.0,20,4.3,4.3,4.65,Single (1),1.0
3601044,Lambeth,entire_home,apartment,,54,4.41,4.45,4.7,Single (1),
3601125,Hackney,entire_home,apartment,220.0,81,4.56,4.3,4.72,Small (2–5),1.0
3623312,Westminster,entire_home,apartment,209.0,138,4.54,4.59,4.73,Professional (6–20),0.68
3634802,Westminster,entire_home,house,,116,4.42,4.48,4.73,Professional (6–20),0.68
3660719,Westminster,entire_home,apartment,,29,4.38,4.66,4.69,Single (1),
3671306,Westminster,entire_home,house,,30,4.53,4.5,4.53,Professional (6–20),0.68
3701249,Westminster,entire_home,apartment,134.0,110,4.44,4.67,4.75,Professional (6–20),0.68
3741769,Southwark,entire_home,apartment,,27,4.41,4.22,5.0,Single (1),
3764462,Brent,entire_home,house,299.0,69,4.57,4.77,4.88,Small (2–5),1.0
3786768,Haringey,private_room,house,35.0,176,4.57,4.25,4.92,Small (2–5),1.0
3853766,Hammersmith and Fulham,entire_home,apartment,125.0,127,4.47,4.46,4.92,Small (2–5),1.0
3873762,Westminster,entire_home,apartment,,43,4.49,4.52,4.71,Small (2–5),
3937112,Kensington and Chelsea,entire_home,apartment,,33,4.55,4.84,4.9,Single (1),0.5
3957179,Greenwich,private_room,house,30.0,326,4.54,4.36,4.76,Small (2–5),1.0
3960209,Merton,private_room,house,63.0,98,4.43,4.17,4.71,Small (2–5),1.0
3982570,Westminster,entire_home,apartment,,79,4.54,4.72,4.82,Single (1),
4005962,Islington,entire_home,apartment,283.0,40,4.5,4.48,4.8,Professional (6–20),1.0
4012401,Camden,private_room,apartment,,146,4.51,4.36,4.88,Single (1),
4068010,Camden,entire_home,apartment,,22,4.27,4.71,4.9,Commercial (21+),0.99
4122753,Richmond upon Thames,private_room,apartment,39.0,223,4.58,4.52,4.68,Small (2–5),0.4
4155031,Hackney,private_room,house,109.0,25,4.08,4.0,4.52,Small (2–5),1.0
4162870,Hackney,private_room,apartment,,25,4.44,4.12,4.88,Single (1),
4194614,Redbridge,private_room,house,27.0,40,4.43,4.13,4.7,Single (1),0.9
4254505,Kensington and Chelsea,entire_home,apartment,249.0,33,4.48,4.13,4.85,Single (1),1.0
4254699,Kensington and Chelsea,entire_home,apartment,,58,4.53,4.5,4.66,Small (2–5),0.92
4278090,Wandsworth,entire_home,apartment,124.0,35,4.51,4.21,4.89,Single (1),1.0
4286878,Richmond upon Thames,private_room,apartment,28.0,136,4.43,4.26,4.67,Small (2–5),0.4
4290315,Enfield,private_room,house,32.0,41,4.56,4.66,4.98,Single (1),1.0
4306630,Westminster,entire_home,apartment,468.0,39,4.54,4.67,4.33,Single (1),0.9
4315980,Islington,entire_home,apartment,,116,4.52,4.58,4.57,Single (1),
