id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
609888073187351595,De Aker - Nieuw Sloten,private_room,house,106.0,155,4.77,4.82,4.88,multi,1.0
612900007919508138,De Aker - Nieuw Sloten,entire_home,other,88.0,216,4.66,4.8,4.88,solo,1.0
613435024662409206,Noord-West,private_room,hotel,161.0,196,4.74,4.81,4.85,solo,1.0
617378058167008775,Centrum-West,entire_home,apartment,473.0,52,4.77,4.79,4.77,multi,1.0
619283373356472530,Centrum-Oost,private_room,hotel,113.0,421,4.46,4.42,4.8,professional,1.0
623038399611231664,Buitenveldert - Zuidas,entire_home,apartment,,190,4.61,4.73,4.81,solo,1.0
627286755565970242,Watergraafsmeer,entire_home,house,218.0,36,4.72,4.56,4.94,solo,1.0
640979169940307267,Centrum-West,private_room,apartment,85.0,117,4.51,4.47,4.84,multi,1.0
649101816251286416,Centrum-West,private_room,house,105.0,286,4.74,4.7,4.91,multi,1.0
666549873738661916,Slotervaart,entire_home,apartment,180.0,67,4.51,4.33,4.67,professional,1.0
666550282691690525,Slotervaart,entire_home,apartment,198.0,46,4.5,4.35,4.63,professional,1.0
670897479972458235,Centrum-Oost,private_room,hotel,120.0,170,4.61,4.74,4.84,solo,1.0
672305056360128105,Gaasperdam - Driemond,private_room,apartment,81.0,127,4.62,4.6,4.83,solo,1.0
676837659076152918,De Baarsjes - Oud-West,private_room,hotel,146.0,257,4.73,4.72,4.83,solo,1.0
680955535725338595,Zuid,private_room,apartment,69.0,54,4.48,4.3,4.89,professional,1.0
685965730124625759,Centrum-West,entire_home,apartment,442.0,55,4.56,4.69,4.64,solo,1.0
691050234985914515,De Baarsjes - Oud-West,entire_home,apartment,233.0,61,4.64,4.59,4.67,multi,0.9
699846140916875590,De Aker - Nieuw Sloten,entire_home,apartment,147.0,142,4.79,4.81,4.92,multi,1.0
708675306315322716,Centrum-Oost,private_room,hotel,,148,4.58,4.68,4.7,multi,1.0
710579176695583986,De Baarsjes - Oud-West,private_room,hotel,190.0,103,4.54,4.64,4.78,multi,1.0
710584638543209293,De Baarsjes - Oud-West,private_room,hotel,177.0,79,4.43,4.53,4.59,multi,1.0
727328895429365423,Centrum-Oost,private_room,apartment,77.0,259,4.62,4.67,4.81,professional,0.99
731673570142288155,Oud-Oost,entire_home,apartment,136.0,70,4.47,4.56,4.83,solo,1.0
731804416591123524,De Pijp - Rivierenbuurt,private_room,apartment,,63,3.98,4.27,3.87,professional,0.98
732499626582941762,Centrum-West,private_room,hotel,,70,4.76,4.81,4.91,multi,1.0
732514953237134848,De Pijp - Rivierenbuurt,private_room,apartment,228.0,62,4.55,4.84,4.52,professional,0.98
732517478644304973,De Pijp - Rivierenbuurt,private_room,apartment,255.0,138,4.17,4.43,4.36,professional,0.98
746060021045144380,Centrum-Oost,shared_room,hotel,73.0,1033,4.72,4.76,4.8,multi,1.0
748283522963623005,Oud-Oost,entire_home,apartment,285.0,62,4.71,4.65,4.94,solo,1.0
766046942861626607,Centrum-Oost,private_room,apartment,192.0,165,4.67,4.7,4.84,multi,
769483610559319327,Centrum-West,private_room,hotel,129.0,111,4.72,4.76,4.9,professional,1.0
769498578801201685,Centrum-West,private_room,hotel,140.0,94,4.68,4.62,4.9,professional,1.0
769519444113579670,Centrum-West,private_room,hotel,170.0,150,4.73,4.64,4.92,professional,1.0
771609212449133892,Centrum-West,private_room,hotel,147.0,111,4.79,4.74,4.91,professional,1.0
771611358606779936,Centrum-West,private_room,hotel,,97,4.79,4.77,4.93,professional,1.0
771619151759198939,Centrum-West,private_room,hotel,128.0,98,4.76,4.74,4.86,professional,1.0
